,loc_name,lon,lat,emd,sgg,field
0,7공구생활폐기물집하시설,126.662504,37.383067,인천 연수구 송도동,연수구,인천
1,가정공원,126.674096,37.520941,인천 서구 가정동,서구,인천
2,가좌완충녹지,126.684497,37.484762,인천 서구 가좌동,서구,인천
3,갑곶2리마을회관,126.510187,37.737728,인천 강화군 강화읍,강화군,강화
4,강화군보건소,126.485095,37.736896,인천 강화군 강화읍,강화군,강화
5,갯골쉼터,126.634716,37.456449,인천 강화군 화도면,강화군,강화
6,거잠포마을회관,126.423605,37.429422,인천 중구 덕교동,중구,인천
7,건평보건진료소,126.406085,37.680731,인천 강화군 양도면,강화군,강화
8,검단2동주민센터,126.689412,37.616873,인천 서구 불로동,서구,인천
9,검단3동주민센터,126.701798,37.594999,인천 서구 원당동,서구,인천
10,경명초등학교,126.637753,37.536449,인천 서구 청라동,서구,인천
11,경서동쑥공원,126.653442,37.556887,인천 서구 경서동,서구,인천
12,경서동중동공원,126.677145,37.564829,인천 서구 경서동,서구,인천
13,계산국민체육공원,126.728848,37.544956,인천 계양구 계산2동,계양구,인천
14,계양구보건소,126.738086,37.537612,인천 계양구 계산동,계양구,인천
15,계양초등학교,126.733681,37.579215,인천 계양구 장기동,계양구,인천
16,교동면보건지소,126.283107,37.784105,인천 강화군 교동면,강화군,강화
17,길상면보건지소,126.49131,37.640566,인천 강화군 길상면,강화군,강화
18,난정보건진료소,126.23779,37.771217,인천 강화군 교동면,강화군,강화
19,남동구보건소,126.730293,37.447724,인천 남동구 만수동,남동구,인천
20,남동근린공원,126.696756,37.407802,인천 남동구 논현동,남동구,인천
21,남촌어린이공원,126.715961,37.432729,인천 남동구 남촌동,남동구,인천
22,내가보건지소,126.389698,37.719431,인천 강화군 내가면,강화군,강화
23,논현근린공원(갯마을공원에서 이전),126.7243031,37.4068792,인천 남동구 논현동,남동구,인천
24,늘솔길공원,126.720352,37.394547,인천 남동구 논현동,남동구,인천
25,다남체육공원,126.720263,37.565906,인천 계양구 갈현동,계양구,인천
26,달빛공원,126.650732,37.400933,인천 연수구 송도동,의성군,인천
27,당하지구1호공원(검단보건지소),126.6742,37.591842,인천 서구 당하동,서구,인천
28,대촌근린공원,126.6328743,37.59554321,인천 부평구 부개동,부평구,인천
29,동구보건소,126.625803,37.483148,인천 동구 만석동,동구,인천
30,동구빗물펌프장,126.641229,37.495365,인천 동구 송현동,동구,인천
31,동구어린이교통공원,126.669617,37.477711,인천 동구 송림동,동구,인천
32,동양근린공원,126.759416,37.561599,인천 계양구 동양동,계양구,인천
33,된밭공원,126.728417,37.532685,인천 계양구 작전동,계양구,인천
34,마장공원,126.707796,37.500689,인천 부평구 산곡동,부평구,인천
35,마전지구2호어린이공원,126.665887,37.611129,인천 서구 마전동,서구,인천
36,만수4동주민센터,126.735742,37.459469,인천 남동구 만수동,남동구,인천
37,매음보건진료소,126.348463,37.663823,인천 강화군 삼산면,강화군,강화
38,뫼골놀이공원,126.700781,37.514065,인천 부평구 산곡동,부평구,인천
39,무의분교(용유초),126.424944,37.390392,인천 중구 무의동,중구,인천
40,문화공원,126.681183,37.417215,인천 연수구 연수동,연수구,인천
41,미추홀공원(송도),126.652141,37.381191,인천 연수구 송도동,연수구,인천
42,미추홀구청소년수련관,126.649014,37.46348,인천 미추홀구 숭의동,미추홀구,인천
43,미추홀근린공원,126.67011,37.446179,인천 미추홀구 주안동,미추홀구,인천
44,방촌공원,126.738911,37.497879,인천 부평구 부개동,부평구,인천
45,보건환경연구원,126.635042,37.468414,인천 중구 신흥동2가,중구,인천
46,봉제어린이공원,126.667902,37.406672,인천 연수구 동춘동,연수구,인천
47,부수지근린공원,126.678644,37.40835,인천 연수구 동춘동,연수구,인천
48,부평공원,126.7119,37.487529,인천 부평구 부평동,부평구,인천
49,부평구보건소,126.724178,37.498668,인천 부평구 부평동,부평구,인천
50,북도보건지소,126.426848,37.532866,인천 옹진군 북도면,옹진군,백령도
51,불은보건지소,126.48009,37.686038,인천 강화군 불은면,강화군,강화
52,삼산면보건지소,126.323508,37.702637,인천 강화군 삼산면,강화군,강화
53,삼선보건진료소,126.261426,37.795993,인천 강화군 교동면,강화군,강화
54,상꾸지놀이공원,126.725267,37.51406,인천 부평구 갈산동,부평구,인천
55,상도1리마을회관,126.467876,37.782005,인천 강화군 송해면,강화군,강화
56,상야분교(계양초등학교),126.780163,37.579443,인천 계양구 상야동,계양구,인천
57,상용보건진료소,126.307841,37.795677,인천 강화군 교동면,강화군,강화
58,새싹어린이공원,126.649197,37.426173,인천 미추홀구 용현동,미추홀구,인천
59,서구보건소,126.67396,37.544535,인천 서구 심곡동,서구,인천
60,서림초등학교,126.646779,37.475871,인천 동구 송림동,동구,인천
61,서운체육공원,126.743801,37.532402,인천 계양구 서운동,계양구,인천
62,석남2동주민센터,126.674543,37.502714,인천 서구 석남동,서구,인천
63,석남체육공원,126.674578,37.510568,인천 서구 석남동,서구,인천
64,석바위공원,126.693937,37.454902,인천 미추홀구 주안동,미추홀구,인천
65,선원보건지소,126.4853,37.711817,인천광역시 강화군 선원면,강화군,강화
66,선학동주민센터(승기천),126.70158,37.422457,인천 연수구 선학동,연수구,인천
67,센트럴파크,126.63896,37.394383,인천 연수구 송도동,연수구,인천
68,소양초등학교,126.741727,37.555733,인천 계양구 박촌동,계양구,인천
69,송도자원환경센터주민편익시설,126.61937,37.350016,인천 연수구 송도동,연수구,인천
70,송해면보건지소,126.46372,37.764678,인천 강화군 송해면,강화군,강화
71,송현근린공원,126.639418,37.478962,인천 동구 송현동,동구,인천
72,수도권매립지주민체육공원,126.635945,37.584033,인천 서구 왕길동,서구,인천
73,수봉공원,126.664151,37.463157,인천 미추홀구 숭의동,미추홀구,인천
74,승기천제방(남동유수지),126.672453,37.396485,인천 남동구 논현고잔동,남동구,인천
75,승학체육공원,126.681744,37.441826,인천 미추홀구 문학동,미추홀구,인천
76,시냇물공원,126.736361,37.512685,인천 부평구 삼산동,부평구,인천
77,신삼보건진료소,126.394229,37.752198,인천 강화군 하점면,강화군,강화
78,신트리공원,126.725861,37.506753,인천 부평구 부평4동,부평구,인천
79,십정녹지,126.692562,37.473908,인천 부평구 십정동,부평구,인천
80,아시아드근린공원(만국광장),126.710485,37.439768,인천 남동구 구월동,남동구,인천
81,양도보건지소,126.422106,37.662573,인천광역시 강화군 양도면,강화군,강화
82,양사면보건지소,126.408058,37.798412,인천 강화군 양사면,강화군,강화
83,어울근린공원,126.745968,37.427234,인천 남동구 서창동,남동구,인천
84,연리보건진료소,126.494797,37.706607,인천 강화군 선원면,강화군,강화
85,연수구보건소,126.671372,37.419236,인천 연수구 청학동,연수구,인천
86,연안부두해양광장,126.600283,37.45458,인천 중구 항동7가,중구,인천
87,영마루공원,126.488209,37.497824,인천 중구 운서동,중구,인천
88,영종하늘도서관,126.563463,37.494617,인천 중구 중산동,중구,인천
89,영흥보건지소,126.461471,37.253087,인천 옹진군 영흥면,옹진군,백령도
90,옛시민회관쉼터,126.679281,37.459126,인천 미추홀구 주안동,미추홀구,인천
91,오두보건진료소,126.511292,37.675667,인천 강화군 불은면,강화군,강화
92,오봉근린공원,126.731396,37.418452,인천 남동구 도림동,남동구,인천
93,왕길근린공원,126.651775,37.600904,인천 서구 완길동,서구,인천
94,용유초등학교,126.411853,37.448194,인천 중구 남북동,중구,인천
95,용정근린공원,126.64211,37.450906,인천 미추홀구 용현동,미추홀구,인천
96,운남근린공원,126.53074,37.491205,인천 중구 운남동,중구,인천
97,운연동경로당,126.766768,37.437255,인천 남동구 운연동,남동구,인천
98,원신근린공원,126.663457,37.514553,인천 서구 신현동,서구,인천
99,월곳리마을회관,126.505328,37.770105,인천 강화군 강화읍,강화군,강화
100,월미문화관,126.604017,37.476342,인천 중구 북성동,중구,인천
101,이화어린이공원,126.703257,37.46278,인천 남동구 간석동,남동구,인천
102,인천대공원,126.75771,37.460682,인천 남동구 장수동,남동구,인천
103,인하대학교,126.655412,37.447131,인천 미추홀구 용현동,미추홀구,인천
104,인화1리마을회관,126.37639,37.795651,인천 강화군 양사면,강화군,강화
105,일신놀이공원,126.741798,37.482817,인천 부평구 일신동,부평구,인천
106,자유공원,126.622419,37.476961,인천 중구 송학동,중구,인천
107,전재울공원,126.715674,37.447044,인천 남동구 구월동,남동구,인천
108,주안체육공원,126.676879,37.462868,인천 미추홀구 주안동,미추홀구,인천
109,진주체육공원,126.680533,37.491255,인천 서구 가좌동,서구,인천
110,청라1호문화공원,126.660773,37.532311,인천 서구 청라동,서구,인천
111,하리보건진료소,126.296079,37.72446,인천 강화군 삼산면,강화군,강화
112,하점면보건지소,126.411942,37.774615,인천 강화군 하점면,강화군,강화
113,학마을공원,126.742027,37.544096,인천 계양구 병방동,계양구,인천
114,해서초등학교,126.718083,37.539684,인천 계양구 계산동,계양구,인천
115,화도보건지소,126.420558,37.631868,인천 강화군 화도면,강화군,강화
116,화문석문화관,126.454404,37.795779,인천 강화군 송해면,강화군,강화
117,황청보건진료소,126.361481,37.72123,인천 강화군 내가면,강화군,강화
118,효성119안전센터,126.706543,37.527374,인천 계양구 효성동,계양구,인천
119,흥왕보건진료소,126.414263,37.607233,인천 강화군 화도면,강화군,강화
